Area;Endpoint;Method;Category;TestCaseID;Test Case Title;Preconditions;Test Data / Request;Steps;Expected Result;Expected HTTP Status;Priority;AI vs Manual;Notes
User;/user/createWithList;POST;Security;TC-074;Injection and unauthorized input for Create users with list;Swagger Petstore API available;"{
  ""username"": ""'; DROP TABLE users;--"",
  ""name"": ""<script>alert('xss')</script>"",
  ""admin"": true
}";"1. Open Swagger UI or API client
2. Execute POST /user/createWithList
3. Validate status code and response body";API must not execute injected input, must not expose sensitive error details, and must not grant unauthorized access.;4xx or sanitized response;High;AI generated + manually refined;Security test: SQL injection, XSS, unexpected fields, oversized payload.
User;/user/createWithList;POST;Business Logic;TC-075;Business rule validation for Create users with list;Swagger Petstore API available;"User lifecycle: create user, retrieve user, update user, login, logout, delete user; duplicate username should be handled.";"1. Open Swagger UI or API client
2. Execute POST /user/createWithList
3. Validate status code and response body";"User lifecycle remains consistent; duplicate or invalid users are handled according to business rules.";200 or controlled business error;High;Manual QA refinement;
User;/user/{username};GET;Positive;TC-076;Get existing user by username;User aziza_auto_01 exists;Path parameter: username=aziza_auto_01;"1. Open Swagger UI or API client
2. Execute GET /user/{username}
3. Validate status code and response body";Response contains user data.;200;Medium;AI generated + manually refined;
User;/user/{username};GET;Negative;TC-077;Reject invalid input for Get user by username;Swagger Petstore API available;Path parameter: username=nonExistingUser123 or empty username;"1. Open Swagger UI or API client
2. Execute GET /user/{username}
3. Validate status code and response body";API should reject invalid request and return client error instead of server error.;400 / 404 / default error expected;High;AI generated + manually refined;Manual validation needed because public Petstore may behave inconsistently.
User;/user/{username};GET;Edge Case;TC-078;Boundary and unusual values for Get user by username;Swagger Petstore API available;username='', username='a'*256, username with spaces;"1. Open Swagger UI or API client
2. Execute GET /user/{username}
3. Validate status code and response body";API handles boundary values without crashing.;200 or controlled 4xx;Medium;AI generated + manually refined;
User;/user/{username};GET;Security;TC-079;Injection and unauthorized input for Get user by username;Swagger Petstore API available;username=' OR '1'='1 / <script>alert(1)</script>;"1. Open Swagger UI or API client
2. Execute GET /user/{username}
3. Validate status code and response body";API must not execute injected input, must not expose sensitive error details, and must not grant unauthorized access.;4xx or sanitized response;High;AI generated + manually refined;Security test: SQL injection, XSS, unexpected fields, oversized payload.
User;/user/{username};GET;Business Logic;TC-080;Business rule validation for Get user by username;Swagger Petstore API available;"User lifecycle: create user, retrieve user, update user, login, logout, delete user; duplicate username should be handled.";"1. Open Swagger UI or API client
2. Execute GET /user/{username}
3. Validate status code and response body";"User lifecycle remains consistent; duplicate or invalid users are handled according to business rules.";200 or controlled business error;High;Manual QA refinement;
User;/user/{username};PUT;Positive;TC-081;Update existing user;User aziza_auto_01 exists;"{
  ""id"": 71001,
  ""username"": ""aziza_auto_01"",
  ""firstName"": ""AzizaUpdated"",
  ""lastName"": ""Ayo"",
  ""email"": ""aziza.auto01@test.com"",
  ""password"": ""Test123!"",
  ""phone"": ""123456789"",
  ""userStatus"": 1
}";"1. Open Swagger UI or API client
2. Execute PUT /user/{username}
3. Validate status code and response body";User is updated successfully.;default / successful operation;Medium;AI generated + manually refined;
User;/user/{username};PUT;Negative;TC-082;Reject invalid input for Update user;Swagger Petstore API available;Path parameter: username=nonExistingUser123 or empty username;"1. Open Swagger UI or API client
2. Execute PUT /user/{username}
3. Validate status code and response body";API should reject invalid request and return client error instead of server error.;400 / 404 / default error expected;High;AI generated + manually refined;Manual validation needed because public Petstore may behave inconsistently.
User;/user/{username};PUT;Edge Case;TC-083;Boundary and unusual values for Update user;Swagger Petstore API available;username='', username='a'*256, username with spaces;"1. Open Swagger UI or API client
2. Execute PUT /user/{username}
3. Validate status code and response body";API handles boundary values without crashing.;200 or controlled 4xx;Medium;AI generated + manually refined;
User;/user/{username};PUT;Security;TC-084;Injection and unauthorized input for Update user;Swagger Petstore API available;"{
  ""username"": ""'; DROP TABLE users;--"",
  ""name"": ""<script>alert('xss')</script>"",
  ""admin"": true
}";"1. Open Swagger UI or API client
2. Execute PUT /user/{username}
3. Validate status code and response body";API must not execute injected input, must not expose sensitive error details, and must not grant unauthorized access.;4xx or sanitized response;High;AI generated + manually refined;Security test: SQL injection, XSS, unexpected fields, oversized payload.
User;/user/{username};PUT;Business Logic;TC-085;Business rule validation for Update user;Swagger Petstore API available;"User lifecycle: create user, retrieve user, update user, login, logout, delete user; duplicate username should be handled.";"1. Open Swagger UI or API client
2. Execute PUT /user/{username}
3. Validate status code and response body";"User lifecycle remains consistent; duplicate or invalid users are handled according to business rules.";200 or controlled business error;High;Manual QA refinement;
User;/user/{username};DELETE;Positive;TC-086;Delete existing user;User aziza_auto_01 exists;Path parameter: username=aziza_auto_01;"1. Open Swagger UI or API client
2. Execute DELETE /user/{username}
3. Validate status code and response body";User is deleted successfully.;200 / default;Medium;AI generated + manually refined;
User;/user/{username};DELETE;Negative;TC-087;Reject invalid input for Delete user;Swagger Petstore API available;Path parameter: username=nonExistingUser123 or empty username;"1. Open Swagger UI or API client
2. Execute DELETE /user/{username}
3. Validate status code and response body";API should reject invalid request and return client error instead of server error.;400 / 404 / default error expected;High;AI generated + manually refined;Manual validation needed because public Petstore may behave inconsistently.
User;/user/{username};DELETE;Edge Case;TC-088;Boundary and unusual values for Delete user;Swagger Petstore API available;username='', username='a'*256, username with spaces;"1. Open Swagger UI or API client
2. Execute DELETE /user/{username}
3. Validate status code and response body";API handles boundary values without crashing.;200 or controlled 4xx;Medium;AI generated + manually refined;
User;/user/{username};DELETE;Security;TC-089;Injection and unauthorized input for Delete user;Swagger Petstore API available;username=' OR '1'='1 / <script>alert(1)</script>;"1. Open Swagger UI or API client
2. Execute DELETE /user/{username}
3. Validate status code and response body";API must not execute injected input, must not expose sensitive error details, and must not grant unauthorized access.;4xx or sanitized response;High;AI generated + manually refined;Security test: SQL injection, XSS, unexpected fields, oversized payload.
User;/user/{username};DELETE;Business Logic;TC-090;Business rule validation for Delete user;Swagger Petstore API available;"User lifecycle: create user, retrieve user, update user, login, logout, delete user; duplicate username should be handled.";"1. Open Swagger UI or API client
2. Execute DELETE /user/{username}
3. Validate status code and response body";"User lifecycle remains consistent; duplicate or invalid users are handled according to business rules.";200 or controlled business error;High;Manual QA refinement;
User;/user/login;GET;Positive;TC-091;Login with valid username and password;User exists;Query parameters: username=aziza_auto_01&password=Test123!;"1. Open Swagger UI or API client
2. Execute GET /user/login
3. Validate status code and response body";Login accepted and response message/session info returned.;200;Medium;AI generated + manually refined;
User;/user/login;GET;Negative;TC-092;Reject invalid input for Login user;Swagger Petstore API available;Query parameters: username=wrongUser&password=wrongPassword;"1. Open Swagger UI or API client
2. Execute GET /user/login
3. Validate status code and response body";API should reject invalid request and return client error instead of server error.;400 / 404 / default error expected;High;AI generated + manually refined;Manual validation needed because public Petstore may behave inconsistently.
User;/user/login;GET;Edge Case;TC-093;Boundary and unusual values for Login user;Swagger Petstore API available;empty username/password, very long password, special characters;"1. Open Swagger UI or API client
2. Execute GET /user/login
3. Validate status code and response body";API handles boundary values without crashing.;200 or controlled 4xx;Medium;AI generated + manually refined;
User;/user/login;GET;Security;TC-094;Injection and unauthorized input for Login user;Swagger Petstore API available;username=' OR '1'='1 / <script>alert(1)</script>;"1. Open Swagger UI or API client
2. Execute GET /user/login
3. Validate status code and response body";API must not execute injected input, must not expose sensitive error details, and must not grant unauthorized access.;4xx or sanitized response;High;AI generated + manually refined;Security test: SQL injection, XSS, unexpected fields, oversized payload.
User;/user/login;GET;Business Logic;TC-095;Business rule validation for Login user;Swagger Petstore API available;"User lifecycle: create user, retrieve user, update user, login, logout, delete user; duplicate username should be handled.";"1. Open Swagger UI or API client
2. Execute GET /user/login
3. Validate status code and response body";"User lifecycle remains consistent; duplicate or invalid users are handled according to business rules.";200 or controlled business error;High;Manual QA refinement;
User;/user/logout;GET;Positive;TC-096;Logout current user session;Swagger Petstore API available;No request body;"1. Open Swagger UI or API client
2. Execute GET /user/logout
3. Validate status code and response body";Logout request is accepted.;default / successful operation;Medium;AI generated + manually refined;
User;/user/logout;GET;Negative;TC-097;Reject invalid input for Logout user;Swagger Petstore API available;Invalid or missing required input;"1. Open Swagger UI or API client
2. Execute GET /user/logout
3. Validate status code and response body";API should reject invalid request and return client error instead of server error.;400 / 404 / default error expected;High;AI generated + manually refined;Manual validation needed because public Petstore may behave inconsistently.
User;/user/logout;GET;Edge Case;TC-098;Boundary and unusual values for Logout user;Swagger Petstore API available;"Logout without previous login; repeated logout request";"1. Open Swagger UI or API client
2. Execute GET /user/logout
3. Validate status code and response body";API handles boundary values without crashing.;200 or controlled 4xx;Medium;AI generated + manually refined;
User;/user/logout;GET;Security;TC-099;Injection and unauthorized input for Logout user;Swagger Petstore API available;Use injection strings in query/path params: ' OR '1'='1, <script>alert(1)</script>;"1. Open Swagger UI or API client
2. Execute GET /user/logout
3. Validate status code and response body";API must not execute injected input, must not expose sensitive error details, and must not grant unauthorized access.;4xx or sanitized response;High;AI generated + manually refined;Security test: SQL injection, XSS, unexpected fields, oversized payload.
User;/user/logout;GET;Business Logic;TC-100;Business rule validation for Logout user;Swagger Petstore API available;"User lifecycle: create user, retrieve user, update user, login, logout, delete user; duplicate username should be handled.";"1. Open Swagger UI or API client
2. Execute GET /user/logout
3. Validate status code and response body";"User lifecycle remains consistent; duplicate or invalid users are handled according to business rules.";200 or controlled business error;High;Manual QA refinement;
